house_id,buid_date,date_priced,garden,dst_dock,dst_capital,dst_mkt,dst_tower,dst_river,renovation,dining_rooms,bedrooms,bathrooms,king_visit,curse,king_blessing,farm_land,locations,holy_tree,dst_knight
  6e32cece, 2/10/1603 8:51 PM ,  6/5/1611 11:44 PM,0,79.724550,19.885265,92.698917,22.395136,8.059939,0,2,2,2,0,0,140,small, The Mountains,,29.921162
  6e32cf20, 2/26/1600 3:13 PM ,  3/10/1610 2:23 PM,0,145.034612,25.106037,141.942752,24.824660,21.448160,0,4,3,4,0,0,135,small, The Mountains,yes,36.084848
  6e32cf76, 9/19/1606 11:55 PM ,  7/26/1608 5:17 AM,0,54.645921,87.174747,16.476015,59.149911,2.980832,0,2,2,3,0,1,73,small, Cursed Land,no,98.032248
  6e32cf7c, 9/10/1602 1:18 AM ,  10/10/1612 2:47 PM,0,151.105728,111.965941,99.671185,72.036244,9.879558,0,3,2,2,0,0,48,small, Servant's Premises,yes,122.889439
  6e32cf80, 3/15/1605 11:16 PM ,  1/19/1612 7:39 AM,0,11.666815,27.953048,50.869864,7.977065,13.758185,0,3,4,3,0,0,132,small, The Mountains,,38.774105
  6e32cfa3, 12/28/1604 9:11 AM ,  10/25/1612 11:27 AM,0,62.104754,107.687755,56.151360,122.390194,77.656929,,3,4,3,0,,52,small, The Mountains,yes,118.003414
  6e32cfb9, 1/13/1600 12:32 AM ,  10/2/1610 1:23 PM,0,26.174476,4.460661,12.904976,123.568064,43.261003,0,3,3,2,0,0,156,huge, The Mountains,yes,15.207348
  6e32d01c, 11/1/1606 6:22 AM ,  11/13/1607 5:56 PM,0,29.348649,33.914079,26.547489,129.504031,21.441570,0,3,2,4,0,0,126,small, The Mountains,yes,44.651891
  6e32d026, 1/8/1600 1:38 PM ,  11/15/1610 2:28 AM,0,21.926644,113.152269,72.557943,31.530238,17.352285,0,3,3,4,0,0,47,huge,,yes,123.253774
  6e32d043, 9/6/1603 4:33 AM ,  7/9/1610 1:41 AM,0,107.670121,25.960131,87.189539,135.664742,12.397643,,3,2,4,0,0,134,small, Cursed Land,yes,36.170315
  6e32d096, 11/6/1602 4:29 AM ,  8/17/1611 2:47 AM,0,82.550344,23.907579,,246.816762,3.803399,1,2,4,4,0,0,136,small, The Mountains,yes,33.962491
  6e32d0c3, 5/14/1605 1:19 PM ,  1/28/1612 9:29 AM,,28.557636,13.557405,72.853128,59.226068,30.014551,0,4,3,4,0,0,146,small, The Mountains,yes,23.662876
  6e32d1ec, 1/15/1606 9:18 PM ,  10/9/1612 8:13 PM,0,13.697252,0.389612,76.262283,183.522950,4.954523,1,2,4,3,0,1,160,small, The Mountains,no,10.676787
  6e32d1f2, 5/9/1602 4:46 PM ,  4/15/1610 6:12 PM,0,103.353914,76.420865,49.191200,162.873972,10.086489,1,4,,4,0,0,84,huge, King's Landing,yes,87.409035
  6e32d203, 7/12/1605 3:25 PM ,  3/13/1609 3:16 PM,0,68.868538,64.946656,46.298638,175.446603,5.396174,0,,2,,0,0,95,small, The Mountains,yes,75.636355
  6e32d2ab, 6/6/1606 11:49 PM ,  1/10/1612 8:11 PM,0,57.990603,1.748233,7.497163,19.886156,23.781114,0,4,3,4,0,1,158,small, The Mountains,,12.124227
  6e32d36c, 5/2/1600 9:51 PM ,  6/7/1611 7:52 AM,0,40.569581,7.446769,,67.246790,33.913126,0,2,4,2,0,0,153,small, Servant's Premises,yes,18.359321
  6e32d38b, 11/16/1606 3:27 AM ,  1/12/1607 11:30 PM,0,3.970710,1.989168,31.003335,8.429662,16.600953,0,4,3,3,0,,158,small,,yes,12.589566
  6e32d421, 5/24/1603 10:45 AM ,  8/18/1611 9:20 AM,0,19.750074,66.191359,67.070563,22.343751,22.157901,1,3,3,4,0,1,94,huge,,no,76.721818
  6e32d42d, 10/11/1605 1:54 AM ,  4/6/1607 5:52 PM,0,42.957437,6.772520,71.961814,86.041208,20.046498,0,3,4,4,0,0,153,huge, The Mountains,,17.056877
  6e32d449, 9/5/1604 9:29 PM ,  12/6/1610 12:38 PM,0,51.623169,,49.784776,60.636172,73.076954,0,2,2,4,0,0,74,small, The Mountains,,
  6e32d44b, 4/21/1602 6:18 PM ,  5/2/1612 2:17 AM,0,41.154721,4.240613,0.056192,86.768838,59.176882,0,3,2,4,0,1,156,small, The Mountains,no,15.039813
  6e32d4e1, 11/21/1600 6:14 AM ,  4/12/1609 12:41 PM,0,71.336772,41.317943,33.478997,178.927552,51.335656,0,4,4,3,0,0,119,huge, The Mountains,yes,51.497693
  6e32d4f0, 7/23/1605 6:49 AM ,  7/4/1612 1:14 AM,0,35.769082,65.309158,30.275938,221.298896,38.675315,0,4,4,3,0,0,95,small, The Mountains,yes,75.960018
  6e32d54b, 8/10/1606 2:14 PM ,  8/27/1607 7:29 PM,0,79.188128,61.702067,11.324750,141.712522,34.670542,0,4,3,4,0,0,98,huge, The Mountains,yes,72.539696
