house_id,buid_date,date_priced,dst_dock,dst_mkt,dst_tower,dst_river,dining_rooms,bedrooms,bathrooms,king_visit,curse,king_blessing,locations,holy_tree,builder,price,house_age,build_year,priced_year
6e32cec0,1602-04-21 00:41:00,1609-07-09 01:11:00,138.600639,69.486467,14.394903,63.109038,3.0,4.0,,0,0.0,160,0,1.0,0,1470912.0,2636.0,1602.0,1609.0
6e32ceda,1603-10-23 23:14:00,1611-10-21 07:40:00,10.998322,63.794375,53.019891,17.045949,4.0,3.0,3.0,0,0.0,37,1,1.0,0,1052137.0,2919.0,1603.0,1611.0
6e32cf09,1603-03-18 03:53:00,1610-05-17 21:36:00,52.819705000000006,96.656914,70.965631,6.548119,2.0,2.0,3.0,0,0.0,79,2,1.0,0,1017577.0,2617.0,1603.0,1610.0
6e32cfa9,1606-08-18 00:23:00,1608-01-20 10:45:00,82.283966,29.043012,119.126593,24.298255,,2.0,3.0,0,1.0,156,2,0.0,0,1409057.0,520.0,1606.0,1608.0
6e32cfb7,1603-09-11 11:53:00,1611-05-20 16:49:00,34.524141,6.740951,222.341302,1.821655,4.0,2.0,4.0,0,0.0,74,1,1.0,0,1317434.0,2808.0,1603.0,1611.0
6e32cfd5,1601-06-13 13:25:00,1611-06-19 04:13:00,38.877415,,76.196189,1.257721,3.0,3.0,3.0,0,0.0,135,3,,0,1333643.0,3657.0,1601.0,1611.0
6e32d0c0,1606-01-19 12:50:00,1610-10-27 21:13:00,35.988844,67.579542,157.877738,15.756025,2.0,3.0,4.0,0,0.0,155,1,1.0,0,1462503.0,1742.0,1606.0,1610.0
6e32d0f3,1606-11-22 23:22:00,1611-01-13 11:32:00,83.914728,57.067604,147.898157,55.592034,2.0,4.0,4.0,0,1.0,53,1,,0,930118.0,1512.0,1606.0,1611.0
6e32d166,1602-01-07 03:34:00,1607-01-02 15:19:00,64.28828299999999,,204.669501,60.009117,2.0,4.0,3.0,0,0.0,58,1,1.0,0,1014617.0,1821.0,1602.0,1607.0
6e32d234,1605-06-25 08:26:00,1608-03-11 20:21:00,59.504656,3.36696,63.397907,21.391704,4.0,3.0,3.0,0,0.0,130,0,1.0,0,1574362.0,990.0,1605.0,1608.0
6e32d244,1604-03-22 02:45:00,1610-10-08 06:15:00,74.89045300000002,,86.880636,77.993602,,4.0,3.0,0,0.0,142,0,1.0,0,1408207.0,2391.0,1604.0,1610.0
6e32d266,1603-03-21 07:45:00,1611-09-11 13:14:00,1.624838,,163.885,16.102894,,4.0,4.0,0,1.0,105,0,0.0,0,1294734.0,3096.0,1603.0,1611.0
6e32d280,1601-09-12 06:51:00,1608-03-03 17:42:00,13.14006,7.363083,154.780872,15.867466,3.0,4.0,2.0,0,0.0,136,0,1.0,0,1525016.0,2364.0,1601.0,1608.0
6e32d28a,1606-02-15 08:48:00,1608-01-11 09:13:00,25.738221,31.8348,84.042989,7.106700999999998,4.0,3.0,4.0,1,0.0,93,0,1.0,0,1382287.0,695.0,1606.0,1608.0
6e32d2e0,1604-09-19 17:28:00,1608-10-19 15:28:00,86.072564,85.563521,146.862456,12.638273,2.0,2.0,3.0,0,1.0,74,2,,0,913124.0,1490.0,1604.0,1608.0
6e32d315,1602-03-07 02:21:00,1607-05-18 11:32:00,51.245386,9.938782000000002,96.415385,5.789836,,,3.0,0,0.0,138,4,,0,1397904.0,1898.0,1602.0,1607.0
6e32d328,1606-12-06 23:19:00,1609-10-10 12:11:00,34.410733,,50.512115,15.00942,2.0,4.0,4.0,0,1.0,143,1,0.0,0,1501970.0,1038.0,1606.0,1609.0
6e32d349,1602-11-03 14:22:00,1609-08-02 13:28:00,67.171839,22.279648,104.567561,43.619874,3.0,2.0,3.0,1,0.0,86,1,,0,1071513.0,2463.0,1602.0,1609.0
6e32d3a6,1606-12-15 21:36:00,1609-09-07 12:40:00,61.21246,5.643314,160.459915,41.915869,2.0,4.0,2.0,0,0.0,101,1,1.0,0,1299089.0,996.0,1606.0,1609.0
6e32d3ad,1603-02-05 18:27:00,1610-09-15 10:47:00,8.423696000000001,31.432316,10.970801,21.169758,2.0,3.0,2.0,0,0.0,157,1,1.0,0,1524907.0,2778.0,1603.0,1610.0
6e32d3f6,1604-04-10 18:55:00,1611-01-18 15:36:00,,34.978795,91.361455,41.862843,3.0,2.0,4.0,0,0.0,133,1,,0,1301197.0,2473.0,1604.0,1611.0
6e32d414,1601-08-09 16:52:00,1607-05-12 17:32:00,57.7146,47.348837,32.106155,2.87067,4.0,3.0,,0,0.0,154,1,1.0,0,1547380.0,2102.0,1601.0,1607.0
6e32d456,1603-08-07 12:42:00,1607-12-20 10:42:00,15.523291,32.174217,,33.493852000000004,,4.0,4.0,0,1.0,7,0,1.0,0,971218.0,1595.0,1603.0,1607.0
6e32d460,1603-08-24 15:24:00,1612-11-28 23:28:00,,124.305272,30.021297,15.976977,3.0,2.0,,0,0.0,151,2,1.0,0,1298829.0,3384.0,1603.0,1612.0
6e32d46a,1603-04-08 05:31:00,1612-12-05 05:42:00,42.570615,,129.093289,69.237309,2.0,2.0,3.0,0,0.0,155,3,1.0,0,1307814.0,3529.0,1603.0,1612.0
6e32d493,1606-10-12 20:17:00,1608-03-09 03:32:00,24.68436,,81.939551,56.170727,2.0,3.0,4.0,0,0.0,151,1,1.0,0,1497142.0,513.0,1606.0,1608.0
6e32d49f,1600-10-08 17:36:00,1612-02-04 19:52:00,71.753065,,18.206663,4.0479910000000014,4.0,2.0,2.0,0,0.0,120,1,1.0,0,1296271.0,4136.0,1600.0,1612.0
6e32d4dd,1606-03-04 07:37:00,1608-05-23 16:45:00,22.060342,8.102772,146.852007,4.032337,2.0,4.0,2.0,0,0.0,144,4,1.0,0,1552937.0,811.0,1606.0,1608.0
6e32d4fa,1602-06-03 04:18:00,1611-12-21 05:22:00,19.373454,112.774373,111.202407,18.14735,3.0,3.0,2.0,0,0.0,55,1,1.0,0,972645.0,3488.0,1602.0,1611.0
6e32d5b6,1606-09-11 18:30:00,1609-05-13 09:42:00,72.979347,66.60216199999999,21.463548,14.622076000000002,4.0,2.0,4.0,0,0.0,92,4,1.0,0,1263279.0,974.0,1606.0,1609.0
6e32d5fa,1604-10-08 10:44:00,1612-11-28 05:18:00,,80.659266,106.329489,87.55446500000002,,2.0,4.0,0,0.0,118,1,,0,1099996.0,2972.0,1604.0,1612.0
6e32d621,1602-05-18 18:50:00,1607-08-04 18:38:00,26.366804,20.160618,4.396858,63.833387,,4.0,4.0,1,,149,0,,0,1480667.0,1903.0,1602.0,1607.0
6e32d653,1600-01-08 16:45:00,1608-07-21 09:17:00,83.12575,6.967003999999998,237.180909,10.006391,,3.0,2.0,0,1.0,128,3,,0,1193024.0,3116.0,1600.0,1608.0
6e32d65a,1605-08-13 12:26:00,1607-07-07 16:20:00,104.336674,42.641175,87.265123,43.742595,3.0,2.0,4.0,0,0.0,68,1,,0,1041349.0,693.0,1605.0,1607.0
6e32d675,1602-10-15 23:59:00,1608-08-16 18:59:00,22.733220000000006,50.61605,222.764212,39.853352,4.0,3.0,4.0,1,0.0,74,2,1.0,0,1220478.0,2131.0,1602.0,1608.0
6e32d6ec,1605-07-03 21:33:00,1612-11-05 05:22:00,32.778152,46.037998,106.244859,21.599697,3.0,,4.0,0,0.0,121,3,1.0,0,1286276.0,2681.0,1605.0,1612.0
6e32d6ff,1604-03-23 00:22:00,1612-11-11 04:28:00,38.723276,44.829363,16.475292,17.769839,2.0,2.0,4.0,0,0.0,148,1,,0,1359489.0,3155.0,1604.0,1612.0
6e32d711,1605-05-12 19:33:00,1612-09-17 07:25:00,28.254131,24.142442000000006,248.660499,2.189447,2.0,2.0,2.0,0,0.0,139,1,,0,1296493.0,2684.0,1605.0,1612.0
6e32d7b5,1604-01-16 23:37:00,1611-01-25 13:22:00,55.82344300000001,15.071091,137.720057,62.371782,3.0,3.0,3.0,0,0.0,155,3,1.0,0,1425114.0,2565.0,1604.0,1611.0
6e32d7de,1600-08-14 02:21:00,1611-06-12 14:42:00,77.178597,29.397304,104.395568,19.416002,4.0,2.0,2.0,0,,147,0,1.0,0,1461181.0,3954.0,1600.0,1611.0
6e32d7e7,1600-06-17 00:25:00,1610-01-20 14:35:00,1.467809,52.48075,102.150075,44.688567,4.0,2.0,3.0,0,0.0,120,1,1.0,0,1297499.0,3504.0,1600.0,1610.0
6e32d7f7,1604-03-24 23:21:00,1612-03-24 07:39:00,29.343361,,76.970324,11.550646,3.0,2.0,4.0,0,1.0,74,0,0.0,0,1310906.0,2921.0,1604.0,1612.0
6e32d80d,1604-06-11 11:56:00,1607-01-23 13:25:00,43.308427,43.559832,48.611809,73.753749,3.0,4.0,2.0,0,,116,4,1.0,0,1398757.0,956.0,1604.0,1607.0
6e32d896,1602-03-23 17:29:00,1607-03-02 01:37:00,5.199882,33.683798,94.385622,27.752067,3.0,2.0,3.0,0,0.0,147,1,1.0,0,1480086.0,1804.0,1602.0,1607.0
6e32d8be,1600-12-08 02:58:00,1610-05-09 22:19:00,16.166707000000002,120.480445,214.380435,14.316628,2.0,3.0,4.0,1,0.0,59,1,1.0,0,918664.0,3439.0,1600.0,1610.0
