House ID,Golden Grains
6e33d031,1156577.69
6e33d037,1425981.57
6e33d03d,1513178.81
6e33d043,1401992.49
6e33d045,1339593.69
6e33d049,1308276.85
6e33d04d,1365564.96
6e33d051,1196891.31
6e33d053,1196736.36
6e33d055,1205519.16
6e33d05b,1198884.75
6e33d05f,1060131.73
6e33d062,1438003.34
6e33d065,1528757.23
6e33d067,1353813.51
6e33d06b,1338866.21
6e33d071,1433425.03
6e33d075,1179132.75
6e33d07a,1331314.69
6e33d080,1069284.61
6e33d083,1320313.0
6e33d089,1194160.39
6e33d08b,1446245.11
6e33d08e,1168667.66
6e33d090,1265325.88
6e33d095,1472680.09
6e33d098,1205323.5
6e33d09a,1087436.56
6e33d09d,1384025.19
6e33d0a0,1336369.35
6e33d0a5,1030637.16
6e33d0a8,1384861.05
6e33d0ac,1402538.9
6e33d0b1,1384596.1
6e33d0b5,1236315.38
6e33d0ba,1418760.49
6e33d0bc,1231706.64
6e33d0c2,1381498.2
6e33d0c6,1231281.92
6e33d0cc,1512826.33
6e33d0d1,1379787.15
6e33d0d3,1447085.26
6e33d0d5,1410242.88
6e33d0d7,915653.79
6e33d0dc,1504449.71
6e33d0e0,1209972.51
6e33d0e2,1341600.73
6e33d0e4,1376054.3
6e33d0e6,1303353.07
6e33d0ea,1215196.55
6e33d0ee,1433782.44
6e33d0f4,1242788.55
6e33d0f8,1286157.96
6e33d0fd,1492152.54
6e33d100,1235833.85
6e33d103,1230719.4
6e33d108,1211385.13
6e33d10b,1422722.62
6e33d110,1140997.62
6e33d112,1094455.95
6e33d117,1486608.83
6e33d11c,1501920.12
6e33d122,1283686.86
6e33d127,1115993.75
6e33d12c,1312038.13
6e33d130,1258840.26
6e33d136,1472013.86
6e33d13a,1458679.92
6e33d13e,1412035.83
6e33d141,1268505.53
6e33d147,1339654.71
6e33d14b,1471098.79
6e33d14e,989928.52
6e33d151,995945.23
6e33d154,1305455.4
6e33d159,1353338.97
6e33d15f,1389975.85
6e33d162,1335378.33
6e33d168,1309002.19
6e33d16d,1078829.34
6e33d16f,1393372.85
6e33d172,1439069.66
6e33d175,1287584.85
6e33d17b,896555.51
6e33d181,1390912.25
6e33d184,1391110.07
6e33d186,1289264.42
6e33d18b,1432841.78
6e33d191,1258312.76
6e33d193,1420063.2
6e33d197,1452960.34
6e33d19b,1490533.26
6e33d19f,1370706.13
6e33d1a3,1265824.06
6e33d1a7,1262301.53
6e33d1ad,1298779.61
6e33d1b1,1332650.26
